jdtdb,            calendar_date,                      x,                      y,                      z,
2459764.500000000, A.D. 2022-Jul-04 00:00:00.0000,  7.091456722412221E+08,  9.120158424894862E+07,  2.173957905476225E+07,
2459765.500000000, A.D. 2022-Jul-05 00:00:00.0000,  7.067436738248124E+08,  9.179576906576520E+07,  2.199006630410481E+07,
2459766.500000000, A.D. 2022-Jul-06 00:00:00.0000,  7.043493871667879E+08,  9.235159968876408E+07,  2.222394343951978E+07,
2459767.500000000, A.D. 2022-Jul-07 00:00:00.0000,  7.019636507555988E+08,  9.286932626916210E+07,  2.244132611405747E+07,
2459768.500000000, A.D. 2022-Jul-08 00:00:00.0000,  6.995872630029411E+08,  9.334908068442947E+07,  2.264227397059501E+07,
2459769.500000000, A.D. 2022-Jul-09 00:00:00.0000,  6.972207954700755E+08,  9.379127872355400E+07,  2.282697830150970E+07,
2459770.500000000, A.D. 2022-Jul-10 00:00:00.0000,  6.948649710840778E+08,  9.419605343001929E+07,  2.299549938248343E+07,
2459771.500000000, A.D. 2022-Jul-11 00:00:00.0000,  6.925202942317156E+08,  9.456367080208507E+07,  2.314795874988909E+07,
2459772.500000000, A.D. 2022-Jul-12 00:00:00.0000,  6.901874895624804E+08,  9.489440802133034E+07,  2.328448718502466E+07,
2459773.500000000, A.D. 2022-Jul-13 00:00:00.0000,  6.878669727258375E+08,  9.518836343452188E+07,  2.340512462653765E+07,
2459774.500000000, A.D. 2022-Jul-14 00:00:00.0000,  6.855594854361554E+08,  9.544578149137907E+07,  2.350998641184052E+07,
2459775.500000000, A.D. 2022-Jul-15 00:00:00.0000,  6.832656904974217E+08,  9.566677666721173E+07,  2.359912387637873E+07,
2459776.500000000, A.D. 2022-Jul-16 00:00:00.0000,  6.809861310671346E+08,  9.585175492103459E+07,  2.367272275670625E+07,
2459777.500000000, A.D. 2022-Jul-17 00:00:00.0000,  6.787214509205185E+08,  9.600079204716708E+07,  2.373081101640040E+07,
